Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
0.1,1,Medium,RMSE,59.89289474487305,OptimiserType.AdamW,000000,7
0.1,1,Medium,MAPE,0.9916167855262756,OptimiserType.AdamW,000000,7
0.1,1,Medium,MAE,58.92436599731445,OptimiserType.AdamW,000000,7
0.1,1,Medium,MSE,3617.859619140625,OptimiserType.AdamW,000000,7
0.1,1,Medium,RMSE,59.84440994262695,OptimiserType.AdamW,000001,7
0.1,1,Medium,MAPE,0.9907068610191345,OptimiserType.AdamW,000001,7
0.1,1,Medium,MAE,58.874996185302734,OptimiserType.AdamW,000001,7
0.1,1,Medium,MSE,3612.016845703125,OptimiserType.AdamW,000001,7
0.1,1,Medium,RMSE,59.7093505859375,OptimiserType.AdamW,000002,7
0.1,1,Medium,MAPE,0.9881524443626404,OptimiserType.AdamW,000002,7
0.1,1,Medium,MAE,58.737430572509766,OptimiserType.AdamW,000002,7
0.1,1,Medium,MSE,3595.851318359375,OptimiserType.AdamW,000002,7
0.1,1,Medium,RMSE,59.54994583129883,OptimiserType.AdamW,000003,7
0.1,1,Medium,MAPE,0.9851413369178772,OptimiserType.AdamW,000003,7
0.1,1,Medium,MAE,58.57522201538086,OptimiserType.AdamW,000003,7
0.1,1,Medium,MSE,3576.815185546875,OptimiserType.AdamW,000003,7
0.1,1,Medium,RMSE,59.37503433227539,OptimiserType.AdamW,000004,7
0.1,1,Medium,MAPE,0.9818336367607117,OptimiserType.AdamW,000004,7
0.1,1,Medium,MAE,58.39716720581055,OptimiserType.AdamW,000004,7
0.1,1,Medium,MSE,3555.97021484375,OptimiserType.AdamW,000004,7
0.1,1,Medium,RMSE,59.18716812133789,OptimiserType.AdamW,000005,7
0.1,1,Medium,MAPE,0.978279709815979,OptimiserType.AdamW,000005,7
0.1,1,Medium,MAE,58.20568084716797,OptimiserType.AdamW,000005,7
0.1,1,Medium,MSE,3533.656005859375,OptimiserType.AdamW,000005,7
0.1,1,Medium,RMSE,58.987300872802734,OptimiserType.AdamW,000006,7
0.1,1,Medium,MAPE,0.9745062589645386,OptimiserType.AdamW,000006,7
0.1,1,Medium,MAE,58.00236129760742,OptimiserType.AdamW,000006,7
0.1,1,Medium,MSE,3510.00244140625,OptimiserType.AdamW,000006,7
0.1,1,Medium,RMSE,58.776092529296875,OptimiserType.AdamW,000007,7
0.1,1,Medium,MAPE,0.9705114364624023,OptimiserType.AdamW,000007,7
0.1,1,Medium,MAE,57.78717803955078,OptimiserType.AdamW,000007,7
0.1,1,Medium,MSE,3485.078857421875,OptimiserType.AdamW,000007,7
0.1,1,Medium,RMSE,58.5538215637207,OptimiserType.AdamW,000008,7
0.1,1,Medium,MAPE,0.9663025140762329,OptimiserType.AdamW,000008,7
0.1,1,Medium,MAE,57.560630798339844,OptimiserType.AdamW,000008,7
0.1,1,Medium,MSE,3458.938720703125,OptimiserType.AdamW,000008,7
0.1,1,Medium,RMSE,58.32040023803711,OptimiserType.AdamW,000009,7
0.1,1,Medium,MAPE,0.9618914127349854,OptimiserType.AdamW,000009,7
0.1,1,Medium,MAE,57.32278060913086,OptimiserType.AdamW,000009,7
0.1,1,Medium,MSE,3431.610595703125,OptimiserType.AdamW,000009,7
0.1,1,Medium,RMSE,58.075809478759766,OptimiserType.AdamW,000010,7
0.1,1,Medium,MAPE,0.9572608470916748,OptimiserType.AdamW,000010,7
0.1,1,Medium,MAE,57.07353591918945,OptimiserType.AdamW,000010,7
0.1,1,Medium,MSE,3403.104736328125,OptimiserType.AdamW,000010,7
0.1,1,Medium,RMSE,57.81999588012695,OptimiserType.AdamW,000011,7
0.1,1,Medium,MAPE,0.9524219632148743,OptimiserType.AdamW,000011,7
0.1,1,Medium,MAE,56.81288528442383,OptimiserType.AdamW,000011,7
0.1,1,Medium,MSE,3373.406982421875,OptimiserType.AdamW,000011,7
0.1,1,Medium,RMSE,57.55322265625,OptimiserType.AdamW,000012,7
0.1,1,Medium,MAPE,0.9473640322685242,OptimiserType.AdamW,000012,7
0.1,1,Medium,MAE,56.540733337402344,OptimiserType.AdamW,000012,7
0.1,1,Medium,MSE,3342.55517578125,OptimiserType.AdamW,000012,7
0.1,1,Medium,RMSE,57.27470779418945,OptimiserType.AdamW,000013,7
0.1,1,Medium,MAPE,0.9421040415763855,OptimiserType.AdamW,000013,7
0.1,1,Medium,MAE,56.25688552856445,OptimiserType.AdamW,000013,7
0.1,1,Medium,MSE,3310.54150390625,OptimiserType.AdamW,000013,7
0.1,1,Medium,RMSE,56.98585510253906,OptimiserType.AdamW,000014,7
0.1,1,Medium,MAPE,0.9366418123245239,OptimiserType.AdamW,000014,7
0.1,1,Medium,MAE,55.96215057373047,OptimiserType.AdamW,000014,7
0.1,1,Medium,MSE,3277.48876953125,OptimiserType.AdamW,000014,7
0.1,1,Medium,RMSE,56.73323440551758,OptimiserType.AdamW,000015,7
0.1,1,Medium,MAPE,0.9318612813949585,OptimiserType.AdamW,000015,7
0.1,1,Medium,MAE,55.70453643798828,OptimiserType.AdamW,000015,7
0.1,1,Medium,MSE,3248.73388671875,OptimiserType.AdamW,000015,7
0.1,1,Medium,RMSE,56.52811813354492,OptimiserType.AdamW,000016,7
0.1,1,Medium,MAPE,0.9279649257659912,OptimiserType.AdamW,000016,7
0.1,1,Medium,MAE,55.495182037353516,OptimiserType.AdamW,000016,7
0.1,1,Medium,MSE,3225.47998046875,OptimiserType.AdamW,000016,7
0.1,1,Medium,RMSE,56.3715934753418,OptimiserType.AdamW,000017,7
0.1,1,Medium,MAPE,0.9250024557113647,OptimiserType.AdamW,000017,7
0.1,1,Medium,MAE,55.335628509521484,OptimiserType.AdamW,000017,7
0.1,1,Medium,MSE,3207.77978515625,OptimiserType.AdamW,000017,7
0.1,1,Medium,RMSE,56.23689651489258,OptimiserType.AdamW,000018,7
0.1,1,Medium,MAPE,0.9224633574485779,OptimiserType.AdamW,000018,7
0.1,1,Medium,MAE,55.19809341430664,OptimiserType.AdamW,000018,7
0.1,1,Medium,MSE,3192.61328125,OptimiserType.AdamW,000018,7
0.1,1,Medium,RMSE,56.107112884521484,OptimiserType.AdamW,000019,7
0.1,1,Medium,MAPE,0.9200168251991272,OptimiserType.AdamW,000019,7
0.1,1,Medium,MAE,55.0656852722168,OptimiserType.AdamW,000019,7
0.1,1,Medium,MSE,3177.988037109375,OptimiserType.AdamW,000019,7
0.1,1,Medium,RMSE,55.97507858276367,OptimiserType.AdamW,000020,7
0.1,1,Medium,MAPE,0.9175218343734741,OptimiserType.AdamW,000020,7
0.1,1,Medium,MAE,54.93088150024414,OptimiserType.AdamW,000020,7
0.1,1,Medium,MSE,3163.14599609375,OptimiserType.AdamW,000020,7
0.1,1,Medium,RMSE,55.83987808227539,OptimiserType.AdamW,000021,7
0.1,1,Medium,MAPE,0.9149701595306396,OptimiserType.AdamW,000021,7
0.1,1,Medium,MAE,54.792667388916016,OptimiserType.AdamW,000021,7
0.1,1,Medium,MSE,3147.9931640625,OptimiserType.AdamW,000021,7
0.1,1,Medium,RMSE,55.70178985595703,OptimiserType.AdamW,000022,7
0.1,1,Medium,MAPE,0.9123705625534058,OptimiserType.AdamW,000022,7
0.1,1,Medium,MAE,54.651824951171875,OptimiserType.AdamW,000022,7
0.1,1,Medium,MSE,3132.5673828125,OptimiserType.AdamW,000022,7
0.1,1,Medium,RMSE,55.56081771850586,OptimiserType.AdamW,000023,7
0.1,1,Medium,MAPE,0.9097151756286621,OptimiserType.AdamW,000023,7
0.1,1,Medium,MAE,54.50800323486328,OptimiserType.AdamW,000023,7
0.1,1,Medium,MSE,3116.855712890625,OptimiserType.AdamW,000023,7
