Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,ExperimentalLR,RMSE,16.049861907958984,0,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.49171894788742065,0,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.328563690185547,0,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,383.1957092285156,0,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.12254524230957,1,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5303019285202026,1,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.6432523727417,1,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,470.5094299316406,1,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.18946647644043,2,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5322308540344238,2,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.708048820495605,2,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,473.5299377441406,2,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.83427619934082,3,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.550978422164917,3,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.433256149291992,3,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,499.7538757324219,3,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.247676849365234,4,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.533916175365448,4,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.766800880432129,4,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,476.0919494628906,4,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.498111724853516,5,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5412254929542542,5,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.040709495544434,5,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,486.569091796875,5,Adamax,5edb3_00006,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.049861907958984,5,Adamax,5edb3_00006,Test
DCRNN,0.1,1,ExperimentalLR,MAPE,0.49171894788742065,5,Adamax,5edb3_00006,Test
DCRNN,0.1,1,ExperimentalLR,MAE,12.328563690185547,5,Adamax,5edb3_00006,Test
DCRNN,0.1,1,ExperimentalLR,MSE,383.1957092285156,5,Adamax,5edb3_00006,Test
