Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,ExperimentalLR,RMSE,16.47917938232422,0,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.48656725883483887,0,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.111358642578125,0,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,358.1952209472656,0,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.985689163208008,1,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5560228228569031,1,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.634828567504883,1,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,506.0488586425781,1,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.835311889648438,2,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5522343516349792,2,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.469795227050781,2,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,500.68975830078125,2,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.904436111450195,3,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5539973974227905,3,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.545620918273926,3,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,503.18310546875,3,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.895633697509766,4,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5247044563293457,4,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.447456359863281,4,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,461.0754699707031,4,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.363866806030273,5,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5373027920722961,5,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.89078140258789,5,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,481.0484619140625,5,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,17.46732521057129,6,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5403302907943726,6,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.006023406982422,6,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,485.3172607421875,6,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.968873977661133,7,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.525909423828125,7,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.50875473022461,7,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,463.1615905761719,7,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.3268985748291,8,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5051647424697876,8,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.21484088897705,8,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.8488464355469,8,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.32323455810547,9,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5049983859062195,9,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.214553833007812,9,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.43505859375,9,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.321876525878906,10,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5049378275871277,10,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.21505355834961,10,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.270751953125,10,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.32468605041504,11,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5050702095031738,11,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.215179443359375,11,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.5956726074219,11,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.323022842407227,12,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5049978494644165,12,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.21524429321289,12,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.4094543457031,12,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.32493782043457,13,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5050739049911499,13,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.214452743530273,13,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,417.63128662109375,13,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.358867645263672,14,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5065065026283264,14,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,12.21013355255127,14,Adam,1a5d8_00007,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,421.420654296875,14,Adam,1a5d8_00007,Validation
