Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,ExperimentalLR,RMSE,16.311437606811523,0,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.4814561903476715,0,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.513394355773926,0,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,339.99554443359375,0,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,18.08085823059082,1,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5580770373344421,1,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.731134414672852,1,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,509.0820617675781,1,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,18.083894729614258,2,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5581641793251038,2,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.734822273254395,2,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,509.1968994140625,2,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,18.10680389404297,3,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5588173270225525,3,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.762531280517578,3,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,510.0536193847656,3,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,18.09302520751953,4,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5584251284599304,4,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.74585247039795,4,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,509.5392150878906,4,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,18.099905014038086,5,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAPE,0.5586190819740295,5,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MAE,13.754293441772461,5,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,MSE,509.7955627441406,5,Adamax,7c64e_00011,Validation
DCRNN,0.1,1,ExperimentalLR,RMSE,16.311437606811523,5,Adamax,7c64e_00011,Test
DCRNN,0.1,1,ExperimentalLR,MAPE,0.4814561903476715,5,Adamax,7c64e_00011,Test
DCRNN,0.1,1,ExperimentalLR,MAE,13.513394355773926,5,Adamax,7c64e_00011,Test
DCRNN,0.1,1,ExperimentalLR,MSE,339.99554443359375,5,Adamax,7c64e_00011,Test
