Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,ExperimentalManual,RMSE,16.237934112548828,0,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.4802556335926056,0,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,13.340036392211914,0,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,341.1653137207031,0,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,17.820819854736328,1,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5505852103233337,1,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,13.417030334472656,1,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,499.2381896972656,1,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.86438751220703,2,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5229241251945496,2,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.428945541381836,2,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,457.76605224609375,2,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,17.53014373779297,3,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5421607494354248,3,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,13.0772705078125,3,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,487.8592529296875,3,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.866830825805664,4,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5229882001876831,4,AdamW,56b2b_00010,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.43089485168457,4,AdamW,56b2b_00010,Validation
