Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,ExperimentalManual,RMSE,16.51186752319336,0,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.4968316853046417,0,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.59903621673584,0,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,392.144287109375,0,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.3054256439209,1,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5040484070777893,1,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.233942031860352,1,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,414.4086608886719,1,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.330936431884766,2,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5052098035812378,2,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.225783348083496,2,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,417.5870666503906,2,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.3666934967041,3,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5067339539527893,3,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.220464706420898,3,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,421.6449279785156,3,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.2896728515625,4,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5032970309257507,4,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.241045951843262,4,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,412.303466796875,4,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.322969436645508,5,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5048556327819824,5,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.227800369262695,5,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,416.62945556640625,5,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.234006881713867,6,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5002985596656799,6,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.28576374053955,6,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,403.5948791503906,6,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.3629207611084,7,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5065775513648987,7,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.22067928314209,7,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,421.23486328125,7,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.296241760253906,8,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5036140084266663,8,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MAE,12.237762451171875,8,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,MSE,413.1991882324219,8,RMSprop,8caa5_00012,Validation
DCRNN,0.1,1,ExperimentalManual,RMSE,16.3666934967041,8,RMSprop,8caa5_00012,Test
DCRNN,0.1,1,ExperimentalManual,MAPE,0.5067339539527893,8,RMSprop,8caa5_00012,Test
DCRNN,0.1,1,ExperimentalManual,MAE,12.220464706420898,8,RMSprop,8caa5_00012,Test
DCRNN,0.1,1,ExperimentalManual,MSE,421.6449279785156,8,RMSprop,8caa5_00012,Test
