Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.7,5,Experimental,RMSE,16.286203384399414,0,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.4827894866466522,0,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.390182495117188,0,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,343.8197326660156,0,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,18.091068267822266,1,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.5583687424659729,1,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.743467330932617,1,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,509.46435546875,1,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,18.152082443237305,2,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.5601055026054382,2,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.817095756530762,2,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,511.74505615234375,2,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,18.103153228759766,3,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.5587112903594971,3,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.758082389831543,3,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,509.9166564941406,3,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,18.102825164794922,4,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.5587027072906494,4,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.757597923278809,4,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,509.9051818847656,4,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,18.062223434448242,5,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAPE,0.5575459599494934,5,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MAE,13.708517074584961,5,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,MSE,508.383056640625,5,Adamax,ef849_00012,Validation
DCRNN,0.7,5,Experimental,RMSE,16.286203384399414,5,Adamax,ef849_00012,Test
DCRNN,0.7,5,Experimental,MAPE,0.4827894866466522,5,Adamax,ef849_00012,Test
DCRNN,0.7,5,Experimental,MAE,13.390182495117188,5,Adamax,ef849_00012,Test
DCRNN,0.7,5,Experimental,MSE,343.8197326660156,5,Adamax,ef849_00012,Test
