Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.7,3,Medium,RMSE,10.613947868347168,0,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.21225541830062866,0,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.3760504722595215,0,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,139.15802001953125,0,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,11.461273193359375,1,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.23753903806209564,1,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.626771450042725,1,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,184.1188507080078,1,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,11.479020118713379,2,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.23813679814338684,2,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.653522491455078,2,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,184.77008056640625,2,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,11.4704008102417,3,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.23784974217414856,3,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.640719890594482,3,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,184.45150756835938,3,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,11.496439933776855,4,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.23871329426765442,4,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.6793293952941895,4,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,185.40821838378906,4,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,11.535219192504883,5,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAPE,0.2399776726961136,5,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MAE,7.73628044128418,5,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,MSE,186.8054962158203,5,AdamW,373d4_00011,Validation
DCRNN,0.7,3,Medium,RMSE,10.613947868347168,5,AdamW,373d4_00011,Test
DCRNN,0.7,3,Medium,MAPE,0.21225541830062866,5,AdamW,373d4_00011,Test
DCRNN,0.7,3,Medium,MAE,7.3760504722595215,5,AdamW,373d4_00011,Test
DCRNN,0.7,3,Medium,MSE,139.15802001953125,5,AdamW,373d4_00011,Test
