Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,5,Medium,RMSE,11.052285194396973,0,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.22098736464977264,0,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,7.5253005027771,0,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,151.8257598876953,0,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,11.9839506149292,1,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.2529192268848419,1,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,8.340845108032227,1,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,201.46524047851562,1,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,11.9907808303833,2,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.2529885768890381,2,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,8.356879234313965,2,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,201.7321319580078,2,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,12.014592170715332,3,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.2537926137447357,3,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,8.379819869995117,3,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,202.4249267578125,3,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,12.014193534851074,4,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.2537934184074402,4,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,8.379328727722168,4,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,202.4148712158203,4,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,12.013983726501465,5,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAPE,0.25381895899772644,5,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MAE,8.3799467086792,5,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,MSE,202.4248809814453,5,Adamax,aef89_00002,Validation
DCRNN,0.1,5,Medium,RMSE,11.052285194396973,5,Adamax,aef89_00002,Test
DCRNN,0.1,5,Medium,MAPE,0.22098736464977264,5,Adamax,aef89_00002,Test
DCRNN,0.1,5,Medium,MAE,7.5253005027771,5,Adamax,aef89_00002,Test
DCRNN,0.1,5,Medium,MSE,151.8257598876953,5,Adamax,aef89_00002,Test
