Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,3,Small,RMSE,9.769488334655762,0,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.18111760914325714,0,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.344693660736084,0,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,134.38876342773438,0,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,10.033011436462402,1,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.1902494728565216,1,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.774586200714111,1,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,143.7805938720703,1,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,10.0574312210083,2,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.1909947693347931,2,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.8109612464904785,2,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,144.54385375976562,2,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,10.073982238769531,3,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.19149483740329742,3,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.835424423217773,3,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,145.0535430908203,3,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,10.076220512390137,4,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.19156210124492645,4,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.838733196258545,4,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,145.1229248046875,4,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,10.070931434631348,5,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAPE,0.1914033740758896,5,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MAE,6.83095645904541,5,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,MSE,144.9600372314453,5,Adamax,4d6eb_00013,Validation
DCRNN,0.1,3,Small,RMSE,9.769488334655762,5,Adamax,4d6eb_00013,Test
DCRNN,0.1,3,Small,MAPE,0.18111760914325714,5,Adamax,4d6eb_00013,Test
DCRNN,0.1,3,Small,MAE,6.344693660736084,5,Adamax,4d6eb_00013,Test
DCRNN,0.1,3,Small,MSE,134.38876342773438,5,Adamax,4d6eb_00013,Test
