Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,3,Small,RMSE,9.687202453613281,0,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.17529818415641785,0,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.6363983154296875,0,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,113.14217376708984,0,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.915489196777344,1,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18642768263816833,1,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.589931488037109,1,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,139.91989135742188,1,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.82310676574707,2,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.1831493377685547,2,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.437245845794678,2,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.55960083007812,2,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.819458961486816,3,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18299667537212372,3,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.4294867515563965,3,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.40060424804688,3,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.82581615447998,4,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18323610723018646,4,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.440219402313232,4,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.6446990966797,4,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.818229675292969,5,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18295232951641083,5,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.427145481109619,5,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.3509979248047,5,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.812357902526855,6,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18272973597049713,6,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.416863441467285,6,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.1218719482422,6,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.820286750793457,7,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18302904069423676,7,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.430694103240967,7,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.43101501464844,7,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.82215404510498,8,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18309956789016724,8,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.4339280128479,8,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,136.5035858154297,8,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.946243286132812,9,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18747325241565704,9,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.640262603759766,9,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,140.95904541015625,9,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.929160118103027,10,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.1869008094072342,10,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.612831115722656,10,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,140.3780059814453,10,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.931406021118164,11,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAPE,0.18697699904441833,11,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MAE,6.616486072540283,11,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,MSE,140.4552764892578,11,AdamW,78d65_00002,Validation
DCRNN,0.1,3,Small,RMSE,9.812357902526855,11,AdamW,78d65_00002,Test
DCRNN,0.1,3,Small,MAPE,0.18272973597049713,11,AdamW,78d65_00002,Test
DCRNN,0.1,3,Small,MAE,6.416863441467285,11,AdamW,78d65_00002,Test
DCRNN,0.1,3,Small,MSE,136.1218719482422,11,AdamW,78d65_00002,Test
