Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,TinyLR,RMSE,15.772979736328125,0,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.45249149203300476,0,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,12.468456268310547,0,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,382.6380615234375,0,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,16.688627243041992,1,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.4903036057949066,1,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,13.487805366516113,1,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,456.2017822265625,1,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,17.098201751708984,2,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.5019712448120117,2,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,13.94440746307373,2,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,474.9295654296875,2,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,17.412418365478516,3,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.5105843544006348,3,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,14.308249473571777,3,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,487.86907958984375,3,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,17.463829040527344,4,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.511975884437561,4,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,14.368404388427734,4,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,489.9253845214844,4,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,16.977035522460938,5,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAPE,0.49863162636756897,5,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MAE,13.80688762664795,5,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,MSE,469.79473876953125,5,AdamW,3e224_00008,Validation
DCRNN,0.1,1,TinyLR,RMSE,15.772979736328125,5,AdamW,3e224_00008,Test
DCRNN,0.1,1,TinyLR,MAPE,0.45249149203300476,5,AdamW,3e224_00008,Test
DCRNN,0.1,1,TinyLR,MAE,12.468456268310547,5,AdamW,3e224_00008,Test
DCRNN,0.1,1,TinyLR,MSE,382.6380615234375,5,AdamW,3e224_00008,Test
