Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.1,1,TinyManual,RMSE,15.639853477478027,0,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.4378702640533447,0,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,12.280579566955566,0,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,352.72900390625,0,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,17.63243865966797,1,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.5165116190910339,1,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,14.566524505615234,1,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,496.57843017578125,1,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,18.363906860351562,2,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.5358145236968994,2,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,15.434284210205078,2,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,524.630126953125,2,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,18.256250381469727,3,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.5330051779747009,3,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,15.306231498718262,3,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,520.5404663085938,3,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,17.6745548248291,4,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.5176393389701843,4,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,14.616180419921875,4,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,498.2232360839844,4,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,17.840402603149414,5,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAPE,0.5220539569854736,5,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MAE,14.812276840209961,5,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,MSE,504.6459655761719,5,AdamW,83c3f_00008,Validation
DCRNN,0.1,1,TinyManual,RMSE,15.639853477478027,5,AdamW,83c3f_00008,Test
DCRNN,0.1,1,TinyManual,MAPE,0.4378702640533447,5,AdamW,83c3f_00008,Test
DCRNN,0.1,1,TinyManual,MAE,12.280579566955566,5,AdamW,83c3f_00008,Test
DCRNN,0.1,1,TinyManual,MSE,352.72900390625,5,AdamW,83c3f_00008,Test
