Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.5,10,Tiny,RMSE,16.408466339111328,0,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.48173072934150696,0,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.195438385009766,0,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,440.8775329589844,0,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,16.63055992126465,1,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.4885914623737335,1,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.426055908203125,1,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,453.2617492675781,1,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,16.96562957763672,2,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.4982569217681885,2,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.793506622314453,2,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,469.16259765625,2,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,16.962236404418945,3,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.4981626272201538,3,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.789741516113281,3,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,469.0123596191406,3,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,17.022811889648438,4,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.4998633563518524,4,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.858392715454102,4,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,471.67022705078125,4,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,16.510032653808594,5,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAPE,0.4849480092525482,5,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MAE,13.30029296875,5,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,MSE,446.7980651855469,5,RMSprop,71498_00003,Validation
DCRNN,0.5,10,Tiny,RMSE,16.408466339111328,5,RMSprop,71498_00003,Test
DCRNN,0.5,10,Tiny,MAPE,0.48173072934150696,5,RMSprop,71498_00003,Test
DCRNN,0.5,10,Tiny,MAE,13.195438385009766,5,RMSprop,71498_00003,Test
DCRNN,0.5,10,Tiny,MSE,440.8775329589844,5,RMSprop,71498_00003,Test
