Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
DCRNN,0.3,5,Tiny,RMSE,15.58491325378418,0,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.4015439748764038,0,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,12.351835250854492,0,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,289.1514587402344,0,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,18.438196182250977,1,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.5377487540245056,1,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,15.522764205932617,1,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,527.4518432617188,1,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,18.43846893310547,2,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.5377562046051025,2,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,15.523078918457031,2,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,527.462158203125,2,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,18.37990379333496,3,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.5362333059310913,3,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,15.453402519226074,3,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,525.2394409179688,3,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,18.350828170776367,4,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.5354747772216797,4,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,15.418756484985352,4,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,524.1343994140625,4,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,18.305355072021484,5,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAPE,0.534288763999939,5,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MAE,15.364670753479004,5,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,MSE,522.4065551757812,5,Adamax,1ff74_00009,Validation
DCRNN,0.3,5,Tiny,RMSE,15.58491325378418,5,Adamax,1ff74_00009,Test
DCRNN,0.3,5,Tiny,MAPE,0.4015439748764038,5,Adamax,1ff74_00009,Test
DCRNN,0.3,5,Tiny,MAE,12.351835250854492,5,Adamax,1ff74_00009,Test
DCRNN,0.3,5,Tiny,MSE,289.1514587402344,5,Adamax,1ff74_00009,Test
