Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,ExperimentalLR,RMSE,16.795534133911133,0,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5190833210945129,0,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.478211402893066,0,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,446.60186767578125,0,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.37236785888672,1,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5069674849510193,1,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.220043182373047,1,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,422.2551574707031,1,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.730920791625977,2,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5190563201904297,2,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.343271255493164,2,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,450.1744689941406,2,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.575510025024414,3,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.514272928237915,3,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.265970230102539,3,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,439.90472412109375,3,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.98879051208496,4,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5264697074890137,4,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.524459838867188,4,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,464.1567687988281,4,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.635093688964844,5,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5452150702476501,5,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.198769569396973,5,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,492.02935791015625,5,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.679298400878906,6,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5464942455291748,6,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.249895095825195,6,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,MSE,493.7635192871094,6,Adam,1da6e_00006,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.37236785888672,6,Adam,1da6e_00006,Test
LSTM,0.1,1,ExperimentalLR,MAPE,0.5069674849510193,6,Adam,1da6e_00006,Test
LSTM,0.1,1,ExperimentalLR,MAE,12.220043182373047,6,Adam,1da6e_00006,Test
LSTM,0.1,1,ExperimentalLR,MSE,422.2551574707031,6,Adam,1da6e_00006,Test
