Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,ExperimentalLR,RMSE,17.504261016845703,0,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5123699307441711,0,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.52541446685791,0,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,467.0892028808594,0,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.81184196472168,1,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5214808583259583,1,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.39025592803955,1,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,455.0928039550781,1,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.714454650878906,2,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5185288786888123,2,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.336164474487305,2,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,448.97161865234375,2,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.492206573486328,3,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5114670991897583,3,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.236224174499512,3,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,433.4446105957031,3,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.519306182861328,4,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5418441891670227,4,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.064929008483887,4,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,487.422119140625,4,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.187740325927734,5,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5321799516677856,5,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.706318855285645,5,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,473.4517822265625,5,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.54707908630371,6,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5426502227783203,6,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.096611022949219,6,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,488.5379333496094,6,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.43470573425293,7,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5393733978271484,7,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.969104766845703,7,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,483.9842224121094,7,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.330707550048828,8,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5051990747451782,8,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.225863456726074,8,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,417.5571594238281,8,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.325923919677734,9,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5049851536750793,9,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.226945877075195,9,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,416.98394775390625,9,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.329099655151367,10,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5051272511482239,10,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.226249694824219,10,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,417.3644104003906,10,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.33953857421875,11,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5055815577507019,11,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.223869323730469,11,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,418.5971374511719,11,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.329715728759766,12,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5051584243774414,12,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.22605037689209,12,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,417.4471740722656,12,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.324121475219727,13,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5049029588699341,13,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.227482795715332,13,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,416.7629089355469,13,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.370481491088867,14,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5068888664245605,14,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.220137596130371,14,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,MSE,422.0502624511719,14,Adam,75507_00001,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.370990753173828,15,Adam,75507_00001,Validation
