Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,ExperimentalLR,RMSE,16.16689682006836,0,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.4883076846599579,0,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.716980934143066,0,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,364.7921142578125,0,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,17.594566345214844,1,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5451327562332153,1,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.178929328918457,1,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,491.4165954589844,1,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,18.039724349975586,2,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5576890110969543,2,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.703335762023926,2,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,508.1371154785156,2,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,18.086563110351562,3,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5596318244934082,3,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.775651931762695,3,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,510.2621154785156,3,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,18.144512176513672,4,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5615455508232117,4,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,13.850994110107422,4,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,512.6095581054688,4,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.881868362426758,5,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5234222412109375,5,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.44133472442627,5,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,458.6969299316406,5,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.25684928894043,6,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5016031861305237,6,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.262829780578613,6,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,407.4559631347656,6,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.240947723388672,7,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5007089376449585,7,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.278047561645508,7,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,404.817626953125,7,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.31831169128418,8,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAPE,0.5046448111534119,8,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MAE,12.22927474975586,8,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,MSE,416.0513000488281,8,Adam,76d7f_00004,Validation
LSTM,0.1,1,ExperimentalLR,RMSE,16.3183536529541,9,Adam,76d7f_00004,Validation
