Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,ExperimentalManual,RMSE,16.425926208496094,0,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5089403986930847,0,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.224668502807617,0,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,427.0292053222656,0,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.924407958984375,1,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5246439576148987,1,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.472887992858887,1,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,460.9317932128906,1,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.84479331970215,2,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5223619341850281,2,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.415172576904297,2,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,456.70623779296875,2,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.815418243408203,3,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5186236500740051,3,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.45134162902832,3,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,447.08380126953125,3,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.472412109375,4,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.510769784450531,4,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.231185913085938,4,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,431.7774353027344,4,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.576133728027344,5,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5142939686775208,5,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.266217231750488,5,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,MSE,439.9471740722656,5,AdamW,a1a1d_00015,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.425926208496094,5,AdamW,a1a1d_00015,Test
LSTM,0.1,1,ExperimentalManual,MAPE,0.5089403986930847,5,AdamW,a1a1d_00015,Test
LSTM,0.1,1,ExperimentalManual,MAE,12.224668502807617,5,AdamW,a1a1d_00015,Test
LSTM,0.1,1,ExperimentalManual,MSE,427.0292053222656,5,AdamW,a1a1d_00015,Test
