Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,ExperimentalManual,RMSE,16.179584503173828,0,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.4872531294822693,0,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.909401893615723,0,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,359.91876220703125,0,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.49456787109375,1,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5115487575531006,1,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.236893653869629,1,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,433.6399230957031,1,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.43802833557129,2,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5095160007476807,2,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.224202156066895,2,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,428.7239074707031,2,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.452621459960938,3,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5100562572479248,3,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.226913452148438,3,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,430.0430603027344,3,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.39318084716797,4,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5078016519546509,4,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.219839096069336,4,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,424.4102478027344,4,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.2825984954834,5,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5029480457305908,5,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.24484920501709,5,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,411.3189392089844,5,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.34798240661621,6,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.505949079990387,6,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.222521781921387,6,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,419.5749816894531,6,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.30304718017578,7,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5039381384849548,7,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.234910011291504,7,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,414.0985107421875,7,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.28944206237793,8,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5032867193222046,8,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.241189002990723,8,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,412.273193359375,8,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.326671600341797,9,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAPE,0.5050182938575745,9,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MAE,12.22675895690918,9,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,MSE,417.0733947753906,9,RMSprop,9b547_00004,Validation
LSTM,0.1,1,ExperimentalManual,RMSE,16.39318084716797,9,RMSprop,9b547_00004,Test
LSTM,0.1,1,ExperimentalManual,MAPE,0.5078016519546509,9,RMSprop,9b547_00004,Test
LSTM,0.1,1,ExperimentalManual,MAE,12.219839096069336,9,RMSprop,9b547_00004,Test
LSTM,0.1,1,ExperimentalManual,MSE,424.4102478027344,9,RMSprop,9b547_00004,Test
