Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.7,5,Experimental,RMSE,16.778961181640625,0,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5197068452835083,0,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.389669418334961,0,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,450.75030517578125,0,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.671146392822266,1,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5172721147537231,1,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.310760498046875,1,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,446.44635009765625,1,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.65446662902832,2,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5167606472969055,2,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.302190780639648,2,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,445.3585510253906,2,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.472978591918945,3,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5107899904251099,3,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.231294631958008,3,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,431.8266906738281,3,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.446088790893555,4,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5098186731338501,4,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.225729942321777,4,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,429.46136474609375,4,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.519969940185547,5,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5124261379241943,5,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.244914054870605,5,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,435.6927795410156,5,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.493227005004883,6,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5115038752555847,6,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.236614227294922,6,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,433.5312805175781,6,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.443702697753906,7,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.509729266166687,7,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.225248336791992,7,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,429.241943359375,7,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.387386322021484,8,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5075743794441223,8,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.219879150390625,8,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,423.8202209472656,8,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.88845443725586,9,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5236067771911621,9,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.445995330810547,9,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,459.0445861816406,9,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.498188018798828,10,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5116750597953796,10,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.23801040649414,10,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,433.93597412109375,10,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.474868774414062,11,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.510856568813324,11,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.231715202331543,11,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,431.9851379394531,11,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.548118591308594,12,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5133727192878723,12,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.255033493041992,12,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,437.8706970214844,12,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.46664810180664,13,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAPE,0.5105624198913574,13,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MAE,12.22973918914795,13,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,MSE,431.2760314941406,13,AdamW,fe7e4_00005,Validation
LSTM,0.7,5,Experimental,RMSE,16.387386322021484,13,AdamW,fe7e4_00005,Test
LSTM,0.7,5,Experimental,MAPE,0.5075743794441223,13,AdamW,fe7e4_00005,Test
LSTM,0.7,5,Experimental,MAE,12.219879150390625,13,AdamW,fe7e4_00005,Test
LSTM,0.7,5,Experimental,MSE,423.8202209472656,13,AdamW,fe7e4_00005,Test
