Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.5,10,Experimental,RMSE,16.530223846435547,0,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5127739906311035,0,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.24846363067627,0,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,436.49786376953125,0,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.332046508789062,1,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5052582621574402,1,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.22549819946289,1,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,417.7186584472656,1,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.262834548950195,2,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5019280314445496,2,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.258125305175781,2,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,408.39508056640625,2,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.28424644470215,3,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5030280351638794,3,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.243897438049316,3,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,411.5467529296875,3,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.33161735534668,4,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5052391886711121,4,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.225645065307617,4,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,417.66558837890625,4,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.337553024291992,5,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5054974555969238,5,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.224310874938965,5,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,418.36663818359375,5,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.28396987915039,6,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5030150413513184,6,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.244105339050293,6,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,411.5108947753906,6,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.280746459960938,7,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5028559565544128,7,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.245853424072266,7,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,411.0610046386719,7,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.253889083862305,8,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.50144362449646,8,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.265423774719238,8,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,406.98590087890625,8,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.21201515197754,9,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.49888232350349426,9,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.316904067993164,9,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,399.29095458984375,9,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.290584564208984,10,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAPE,0.5033412575721741,10,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MAE,12.24060344696045,10,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,MSE,412.4285583496094,10,RMSprop,e0658_00001,Validation
LSTM,0.5,10,Experimental,RMSE,16.337553024291992,10,RMSprop,e0658_00001,Test
LSTM,0.5,10,Experimental,MAPE,0.5054974555969238,10,RMSprop,e0658_00001,Test
LSTM,0.5,10,Experimental,MAE,12.224310874938965,10,RMSprop,e0658_00001,Test
LSTM,0.5,10,Experimental,MSE,418.36663818359375,10,RMSprop,e0658_00001,Test
