Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.7,5,Medium,RMSE,11.633594512939453,0,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.24302922189235687,0,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.8769073486328125,0,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,190.3782958984375,0,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.603347778320312,1,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.2421296238899231,1,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.834005355834961,1,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,189.1963348388672,1,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.590337753295898,2,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.24172566831111908,2,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.815556049346924,2,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,188.74856567382812,2,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.612507820129395,3,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.24241097271442413,3,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.84660530090332,3,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,189.52728271484375,3,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.457977294921875,4,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.23743018507957458,4,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.621975421905518,4,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,183.9907989501953,4,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.496004104614258,5,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.23870013654232025,5,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.67874002456665,5,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,185.3914794921875,5,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.63709831237793,6,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.2431679368019104,6,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.881523132324219,6,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,190.35386657714844,6,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,RMSE,11.570679664611816,7,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAPE,0.24110926687717438,7,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MAE,7.787562370300293,7,Adam,3f806_00000,Validation
LSTM,0.7,5,Medium,MSE,188.06015014648438,7,Adam,3f806_00000,Validation
