Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.5,10,Medium,RMSE,11.282857894897461,0,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.23150330781936646,0,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.369067668914795,0,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,177.22752380371094,0,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.447564125061035,1,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.23704583942890167,1,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.603217124938965,1,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,183.65846252441406,1,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.438374519348145,2,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.23673930764198303,2,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.590056896209717,2,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,183.29592895507812,2,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.417779922485352,3,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.23601754009723663,3,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.557621479034424,3,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,182.52915954589844,3,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.435933113098145,4,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.2366398721933365,4,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.585124492645264,4,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,183.2194061279297,4,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.38169002532959,5,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAPE,0.23474304378032684,5,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MAE,7.501289367675781,5,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,MSE,181.1459197998047,5,AdamW,f8cc5_00002,Validation
LSTM,0.5,10,Medium,RMSE,11.282857894897461,5,AdamW,f8cc5_00002,Test
LSTM,0.5,10,Medium,MAPE,0.23150330781936646,5,AdamW,f8cc5_00002,Test
LSTM,0.5,10,Medium,MAE,7.369067668914795,5,AdamW,f8cc5_00002,Test
LSTM,0.5,10,Medium,MSE,177.22752380371094,5,AdamW,f8cc5_00002,Test
