Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.3,3,Small,RMSE,9.535534858703613,0,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.17304737865924835,0,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.510687828063965,0,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,111.48737335205078,0,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.935310363769531,1,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.18716494739055634,1,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.7530035972595215,1,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,140.85507202148438,1,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.884657859802246,2,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.185694620013237,2,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.703697204589844,2,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,139.3524932861328,2,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.714009284973145,3,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.18117044866085052,3,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.854038238525391,3,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,130.91943359375,3,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.642468452453613,4,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.17942771315574646,4,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.753800868988037,4,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,129.3104248046875,4,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.885998725891113,5,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAPE,0.18598812818527222,5,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MAE,6.745962619781494,5,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,MSE,139.4390411376953,5,Adamax,fc0ef_00011,Validation
LSTM,0.3,3,Small,RMSE,9.535534858703613,5,Adamax,fc0ef_00011,Test
LSTM,0.3,3,Small,MAPE,0.17304737865924835,5,Adamax,fc0ef_00011,Test
LSTM,0.3,3,Small,MAE,6.510687828063965,5,Adamax,fc0ef_00011,Test
LSTM,0.3,3,Small,MSE,111.48737335205078,5,Adamax,fc0ef_00011,Test
