Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,Small,RMSE,9.603066444396973,0,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.17603835463523865,0,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.2062907218933105,0,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,125.5103759765625,0,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.838274955749512,1,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.18369196355342865,1,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.461251735687256,1,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,137.1176300048828,1,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.843740463256836,2,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.18389789760112762,2,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.470928192138672,2,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,137.32339477539062,2,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.833064079284668,3,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.1835033893585205,3,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.452586650848389,3,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,136.9198760986328,3,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.824685096740723,4,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.18319742381572723,4,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.4386091232299805,4,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,136.59718322753906,4,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.857500076293945,5,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAPE,0.18439464271068573,5,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MAE,6.494023323059082,5,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,MSE,137.8368682861328,5,AdamW,7962e_00000,Validation
LSTM,0.1,1,Small,RMSE,9.603066444396973,5,AdamW,7962e_00000,Test
LSTM,0.1,1,Small,MAPE,0.17603835463523865,5,AdamW,7962e_00000,Test
LSTM,0.1,1,Small,MAE,6.2062907218933105,5,AdamW,7962e_00000,Test
LSTM,0.1,1,Small,MSE,125.5103759765625,5,AdamW,7962e_00000,Test
