Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,TinyLR,RMSE,15.924602508544922,0,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.45907697081565857,0,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,12.661335945129395,0,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,394.3522644042969,0,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,17.35862159729004,1,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.509122371673584,1,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,14.245421409606934,1,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,485.7035217285156,1,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,17.37521743774414,2,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.5095735788345337,2,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,14.264760971069336,2,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,486.3755798339844,2,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,17.21337127685547,3,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.5051509141921997,3,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,14.07688045501709,3,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,479.7577819824219,3,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,17.099388122558594,4,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.5019976496696472,4,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,13.945694923400879,4,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,474.9672546386719,4,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,17.142728805541992,5,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAPE,0.5032029747962952,5,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MAE,13.995594024658203,5,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,MSE,476.80322265625,5,Adam,c1b9c_00008,Validation
LSTM,0.1,1,TinyLR,RMSE,15.924602508544922,5,Adam,c1b9c_00008,Test
LSTM,0.1,1,TinyLR,MAPE,0.45907697081565857,5,Adam,c1b9c_00008,Test
LSTM,0.1,1,TinyLR,MAE,12.661335945129395,5,Adam,c1b9c_00008,Test
LSTM,0.1,1,TinyLR,MSE,394.3522644042969,5,Adam,c1b9c_00008,Test
