Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,TinyLR,RMSE,15.987808227539062,0,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.4652336835861206,0,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,12.743996620178223,0,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,408.2904052734375,0,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,16.64849853515625,1,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.48912355303764343,1,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,13.445079803466797,1,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,454.18035888671875,1,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,16.654739379882812,2,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.4893093705177307,2,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,13.451794624328613,2,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,454.49853515625,2,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,16.611141204833984,3,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.48801472783088684,3,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,13.40567684173584,3,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,452.25439453125,3,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,16.966550827026367,4,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.49828192591667175,4,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,13.794588088989258,4,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,469.2025451660156,4,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,16.745317459106445,5,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAPE,0.49196019768714905,5,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MAE,13.549063682556152,5,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,MSE,458.9903259277344,5,RMSprop,6bb98_00013,Validation
LSTM,0.1,1,TinyLR,RMSE,15.987808227539062,5,RMSprop,6bb98_00013,Test
LSTM,0.1,1,TinyLR,MAPE,0.4652336835861206,5,RMSprop,6bb98_00013,Test
LSTM,0.1,1,TinyLR,MAE,12.743996620178223,5,RMSprop,6bb98_00013,Test
LSTM,0.1,1,TinyLR,MSE,408.2904052734375,5,RMSprop,6bb98_00013,Test
