Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,TinyManual,RMSE,15.95101261138916,0,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.4614621102809906,0,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,12.666522026062012,0,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,401.2200012207031,0,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,16.757789611816406,1,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.4923285245895386,1,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,13.563055038452148,1,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,459.5949401855469,1,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,16.43531608581543,2,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.48259904980659485,2,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,13.223240852355957,2,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,442.4913635253906,2,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,16.633825302124023,3,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.48868727684020996,3,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,13.429404258728027,3,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,453.4288330078125,3,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,16.686140060424805,4,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.490231990814209,4,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,13.485161781311035,4,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,456.08258056640625,4,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,16.700178146362305,5,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAPE,0.4906458258628845,5,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MAE,13.500348091125488,5,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,MSE,456.7785339355469,5,Adam,03ecf_00008,Validation
LSTM,0.1,1,TinyManual,RMSE,15.95101261138916,5,Adam,03ecf_00008,Test
LSTM,0.1,1,TinyManual,MAPE,0.4614621102809906,5,Adam,03ecf_00008,Test
LSTM,0.1,1,TinyManual,MAE,12.666522026062012,5,Adam,03ecf_00008,Test
LSTM,0.1,1,TinyManual,MSE,401.2200012207031,5,Adam,03ecf_00008,Test
