Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,TinyManual,RMSE,15.631983757019043,0,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.4367327094078064,0,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,12.270278930664062,0,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,350.4312744140625,0,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,18.24486541748047,1,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.5327088832855225,1,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,15.292716979980469,1,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,520.1083984375,1,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,17.268169403076172,2,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.5066555738449097,2,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,14.140397071838379,2,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,482.0181579589844,2,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,16.716840744018555,3,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.4911360442638397,3,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,13.518486976623535,3,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,457.6035461425781,3,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,17.474773406982422,4,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.5122724771499634,4,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,14.381301879882812,4,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,490.36083984375,4,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,17.391191482543945,5,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAPE,0.5100073218345642,5,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MAE,14.283452987670898,5,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,MSE,487.01739501953125,5,AdamW,d1c5e_00003,Validation
LSTM,0.1,1,TinyManual,RMSE,15.631983757019043,5,AdamW,d1c5e_00003,Test
LSTM,0.1,1,TinyManual,MAPE,0.4367327094078064,5,AdamW,d1c5e_00003,Test
LSTM,0.1,1,TinyManual,MAE,12.270278930664062,5,AdamW,d1c5e_00003,Test
LSTM,0.1,1,TinyManual,MSE,350.4312744140625,5,AdamW,d1c5e_00003,Test
