Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.1,1,Tiny,RMSE,15.91783332824707,0,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.4606105089187622,0,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,12.667864799499512,0,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,398.0133361816406,0,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,17.37449836730957,1,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.5095511674880981,1,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,14.263836860656738,1,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,486.34075927734375,1,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,17.511323928833008,2,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.5132490396499634,2,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,14.423951148986816,2,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,491.7955627441406,2,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,17.31806182861328,3,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.5080188512802124,3,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,14.198288917541504,3,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,484.0596923828125,3,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,17.525848388671875,4,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.5135640501976013,4,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,14.440277099609375,4,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,492.1824645996094,4,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,17.463327407836914,5,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAPE,0.5119789242744446,5,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MAE,14.367939949035645,5,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,MSE,489.9470520019531,5,AdamW,bd76d_00001,Validation
LSTM,0.1,1,Tiny,RMSE,15.91783332824707,5,AdamW,bd76d_00001,Test
LSTM,0.1,1,Tiny,MAPE,0.4606105089187622,5,AdamW,bd76d_00001,Test
LSTM,0.1,1,Tiny,MAE,12.667864799499512,5,AdamW,bd76d_00001,Test
LSTM,0.1,1,Tiny,MSE,398.0133361816406,5,AdamW,bd76d_00001,Test
