Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
LSTM,0.3,3,Tiny,RMSE,16.57046127319336,0,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.4069748818874359,0,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,14.561115264892578,0,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,291.1889953613281,0,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.90499210357666,1,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.4607270658016205,1,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.636676788330078,1,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,399.3399353027344,1,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.911368370056152,2,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.4610995948314667,2,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.645380973815918,2,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,400.0753479003906,2,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.917169570922852,3,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.46143457293510437,3,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.653194427490234,3,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,400.736572265625,3,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.927186965942383,4,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.46200209856033325,4,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.66652774810791,4,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,401.8636474609375,4,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.939094543457031,5,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.46266648173332214,5,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.68221664428711,5,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,403.1797790527344,5,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.943857192993164,6,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAPE,0.46292537450790405,6,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MAE,12.688362121582031,6,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,MSE,403.69366455078125,6,Adamax,05f61_00012,Validation
LSTM,0.3,3,Tiny,RMSE,15.90499210357666,6,Adamax,05f61_00012,Test
LSTM,0.3,3,Tiny,MAPE,0.4607270658016205,6,Adamax,05f61_00012,Test
LSTM,0.3,3,Tiny,MAE,12.636676788330078,6,Adamax,05f61_00012,Test
LSTM,0.3,3,Tiny,MSE,399.3399353027344,6,Adamax,05f61_00012,Test
