Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,ExperimentalLR,RMSE,24.257190704345703,0,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4414047598838806,0,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,22.96622657775879,0,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,590.358154296875,0,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.667428970336914,1,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3846127986907959,1,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,13.33401107788086,1,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,283.2226867675781,1,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.0792293548584,2,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.385511189699173,2,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.84598159790039,2,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,307.8291015625,2,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,18.58739471435547,3,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4127427637577057,3,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,11.093000411987305,3,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,368.6568298339844,3,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.717283248901367,4,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.38974666595458984,4,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,14.580344200134277,4,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,283.3348083496094,4,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,18.301876068115234,5,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4147741496562958,5,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,11.762784004211426,5,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,354.5514221191406,5,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.236452102661133,6,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.38297799229621887,6,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.61635971069336,6,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,312.0327453613281,6,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.56881332397461,7,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.37749266624450684,7,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.767796516418457,7,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,287.42169189453125,7,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.85219955444336,8,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3984178900718689,8,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.718892097473145,8,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,338.2443542480469,8,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,18.202587127685547,9,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4018060564994812,9,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,12.405076026916504,9,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,344.0527648925781,9,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.850954055786133,10,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4004049599170685,10,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,11.856419563293457,10,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,332.88983154296875,10,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.869781494140625,11,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.37493064999580383,11,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MAE,11.200745582580566,11,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,MSE,293.6495361328125,11,RMSprop,b9a97_00004,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.236452102661133,11,RMSprop,b9a97_00004,Test
STCONV,0.1,1,ExperimentalLR,MAPE,0.38297799229621887,11,RMSprop,b9a97_00004,Test
STCONV,0.1,1,ExperimentalLR,MAE,10.61635971069336,11,RMSprop,b9a97_00004,Test
STCONV,0.1,1,ExperimentalLR,MSE,312.0327453613281,11,RMSprop,b9a97_00004,Test
