Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,ExperimentalLR,RMSE,52.7294921875,0,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.8448498845100403,0,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,50.25544357299805,0,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,2786.493896484375,0,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,45.34564971923828,1,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.694183886051178,1,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,42.55746841430664,1,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,2061.596435546875,1,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,38.46591567993164,2,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.5825626850128174,2,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,35.70798873901367,2,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,1484.09228515625,2,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,32.17483901977539,3,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.5095478892326355,3,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,29.94157600402832,3,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,1038.60595703125,3,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,26.456838607788086,4,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4584677815437317,4,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,24.931676864624023,4,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,702.1016235351562,4,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,21.531143188476562,5,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.4235730469226837,5,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,20.57381820678711,5,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,464.6029052734375,5,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.811466217041016,6,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.39828795194625854,6,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,16.648897171020508,6,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,318.3581237792969,6,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.04114532470703,7,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.38245946168899536,7,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,13.28927993774414,7,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,262.1180725097656,7,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,16.400863647460938,8,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3786330223083496,8,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.882744789123535,8,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,282.407470703125,8,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.42138671875,9,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3858068883419037,9,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.084660530090332,9,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,324.04852294921875,9,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.604782104492188,10,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3879355192184448,10,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.051508903503418,10,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,331.3833312988281,10,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.595684051513672,11,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3878239393234253,11,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.052497863769531,11,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,331.0206604003906,11,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.581602096557617,12,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.387650728225708,12,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.054037094116211,12,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,330.4595031738281,12,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.57447624206543,13,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.38756245374679565,13,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.054834365844727,13,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,330.1752014160156,13,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.571556091308594,14,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.38752618432044983,14,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.055155754089355,14,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,330.0585632324219,14,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.571481704711914,15,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAPE,0.3875253200531006,15,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MAE,10.055161476135254,15,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,MSE,330.0555419921875,15,Adam,72bc6_00014,Validation
STCONV,0.1,1,ExperimentalLR,RMSE,17.604782104492188,15,Adam,72bc6_00014,Test
STCONV,0.1,1,ExperimentalLR,MAPE,0.3879355192184448,15,Adam,72bc6_00014,Test
STCONV,0.1,1,ExperimentalLR,MAE,10.051508903503418,15,Adam,72bc6_00014,Test
STCONV,0.1,1,ExperimentalLR,MSE,331.3833312988281,15,Adam,72bc6_00014,Test
