Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,ExperimentalManual,RMSE,50.02790451049805,0,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAPE,0.7822796702384949,0,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAE,45.75168991088867,0,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MSE,2508.47119140625,0,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,RMSE,43.112342834472656,1,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAPE,0.6454949378967285,1,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAE,39.08019256591797,1,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MSE,1863.331787109375,1,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,RMSE,36.99391555786133,2,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAPE,0.5551796555519104,2,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAE,33.30039978027344,2,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MSE,1372.6593017578125,2,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,RMSE,31.32645034790039,3,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAPE,0.4958305060863495,3,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAE,28.404706954956055,3,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MSE,984.7440185546875,3,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,RMSE,26.102060317993164,4,Adam,fdfd3_00005,Validation
STCONV,0.1,1,ExperimentalManual,MAPE,0.45382851362228394,4,Adam,fdfd3_00005,Validation
