Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,3,Experimental,RMSE,52.889869689941406,0,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.8483192920684814,0,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,50.4239616394043,0,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,2803.448974609375,0,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,45.51193618774414,1,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.6971959471702576,1,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,42.72711944580078,1,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,2076.72216796875,1,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,38.71901321411133,2,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.5860244631767273,2,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,35.94929504394531,2,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,1503.6666259765625,2,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,32.6767463684082,3,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.514728844165802,3,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,30.391660690307617,3,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,1071.251953125,3,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,27.310401916503906,4,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.46504464745521545,4,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,25.66405487060547,4,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,748.1961059570312,4,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,22.896587371826172,5,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.43282800912857056,5,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,21.821413040161133,5,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,525.5479736328125,5,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,19.454627990722656,6,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.4096754789352417,6,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,18.53343963623047,6,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,379.2668762207031,6,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,17.152456283569336,7,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.39330151677131653,7,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAE,15.732921600341797,7,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MSE,295.8046875,7,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,RMSE,16.073320388793945,8,Adamax,2be1d_00002,Validation
STCONV,0.1,3,Experimental,MAPE,0.3829489052295685,8,Adamax,2be1d_00002,Validation
