Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.3,1,Experimental,RMSE,17.129039764404297,0,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.37988466024398804,0,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.21139907836914,0,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,308.9166564941406,0,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.134044647216797,1,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.37983179092407227,1,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.125362396240234,1,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,309.73675537109375,1,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.127456665039062,2,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.3796702027320862,2,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.10462474822998,2,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,309.63134765625,2,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.1390323638916,3,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.3798080086708069,3,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.094545364379883,3,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,310.14862060546875,3,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.14179801940918,4,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.379795640707016,4,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.086721420288086,4,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,310.29742431640625,4,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.130155563354492,5,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.3796858787536621,5,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAE,10.090362548828125,5,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MSE,309.8530578613281,5,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,RMSE,17.139780044555664,6,Adam,82373_00012,Validation
STCONV,0.3,1,Experimental,MAPE,0.3799496293067932,6,Adam,82373_00012,Validation
