Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.3,1,Medium,RMSE,37.460105895996094,0,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.5840960741043091,0,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,35.96175003051758,0,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,1403.9365234375,0,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.3850736618042,1,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.21240416169166565,1,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,7.039719581604004,1,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,154.51031494140625,1,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.322077751159668,2,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.21070531010627747,2,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.938037395477295,2,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,152.96897888183594,2,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.349318504333496,3,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.21091151237487793,3,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.926443576812744,3,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,153.6815948486328,3,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.283780097961426,4,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.21104121208190918,4,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,7.0170159339904785,4,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,151.95205688476562,4,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.131591796875,5,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20867149531841278,5,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.954914569854736,5,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,148.16796875,5,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.151766777038574,6,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20868316292762756,6,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.976347923278809,6,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,148.68328857421875,6,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.55622386932373,7,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.2010897397994995,7,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.942014217376709,7,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,134.2868194580078,7,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.824353218078613,8,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20135124027729034,8,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.7845540046691895,8,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,140.97300720214844,8,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.989603996276855,9,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20355094969272614,9,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.892031669616699,9,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,144.8907012939453,9,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,12.049572944641113,10,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20414450764656067,10,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.99737548828125,10,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,146.3961944580078,10,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,10.610175132751465,11,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.18088479340076447,11,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.596063613891602,11,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,113.13066101074219,11,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,10.847467422485352,12,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.17860226333141327,12,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.41044807434082,12,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,118.44554138183594,12,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,10.709565162658691,13,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.1770074963569641,13,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.519179344177246,13,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,115.24273681640625,13,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.22824478149414,14,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.19039444625377655,14,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.649259090423584,14,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,126.8745346069336,14,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.018865585327148,15,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.18720607459545135,15,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.798729419708252,15,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,122.0176773071289,15,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,10.676883697509766,16,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.1796901375055313,16,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.516698837280273,16,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,114.57644653320312,16,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,11.869650840759277,17,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAPE,0.20185333490371704,17,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MAE,6.795307636260986,17,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,MSE,142.0585174560547,17,AdamW,af4df_00004,Validation
STCONV,0.3,1,Medium,RMSE,10.847467422485352,17,AdamW,af4df_00004,Test
STCONV,0.3,1,Medium,MAPE,0.17860226333141327,17,AdamW,af4df_00004,Test
STCONV,0.3,1,Medium,MAE,6.41044807434082,17,AdamW,af4df_00004,Test
STCONV,0.3,1,Medium,MSE,118.44554138183594,17,AdamW,af4df_00004,Test
