Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.7,1,Medium,RMSE,30.72148895263672,0,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.48471468687057495,0,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,28.746219635009766,0,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,944.2628784179688,0,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.260292053222656,1,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.21275979280471802,1,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.233736991882324,1,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.2275848388672,1,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.267796516418457,2,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.21283169090747833,2,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.2316999435424805,2,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.41851806640625,2,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.261639595031738,3,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.212746724486351,3,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.230903625488281,3,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.262451171875,3,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.262115478515625,4,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.21276308596134186,4,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.231842994689941,4,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.2743682861328,4,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.26926040649414,5,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2128228098154068,5,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.228955268859863,5,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.4570770263672,5,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.264996528625488,6,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2127687633037567,6,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.228729724884033,6,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.3487548828125,6,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.267232894897461,7,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.21277810633182526,7,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.226419448852539,7,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.4068603515625,7,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.265948295593262,8,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.21275703608989716,8,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,7.225942134857178,8,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.3746337890625,8,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.233386039733887,9,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20975185930728912,9,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.938436985015869,9,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.7239532470703,9,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.232792854309082,10,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2097185105085373,10,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.93508243560791,10,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.7130126953125,10,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.232906341552734,11,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2097177654504776,11,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.93480110168457,11,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.7165985107422,11,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.23338508605957,12,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20972292125225067,12,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.934770107269287,12,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.72872924804688,12,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.233238220214844,13,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20972073078155518,13,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.93472146987915,13,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.7250518798828,13,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.233725547790527,14,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20972613990306854,14,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.934698104858398,14,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.73739624023438,14,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.246442794799805,15,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20975133776664734,15,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.922967433929443,15,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.0699920654297,15,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.243749618530273,16,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20966680347919464,16,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.917224407196045,16,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.00833129882812,16,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.23933219909668,17,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20958822965621948,17,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.914016246795654,17,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.90122985839844,17,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.235359191894531,18,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2095280885696411,18,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.912228584289551,18,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.80345153808594,18,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.232627868652344,19,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20948903262615204,19,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.911177158355713,19,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.73651123046875,19,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.230851173400879,20,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20946384966373444,20,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.9105072021484375,20,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.69354248046875,20,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.23483657836914,21,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20950113236904144,21,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.909871578216553,21,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.7947235107422,21,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.237750053405762,22,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2095286101102829,22,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.909392356872559,22,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.8691864013672,22,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.239903450012207,23,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20954860746860504,23,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.909030437469482,23,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.92405700683594,23,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.241466522216797,24,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20956332981586456,24,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.908750057220459,24,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.96414184570312,24,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.242603302001953,25,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20957353711128235,25,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.908517360687256,25,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,150.99317932128906,25,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.243391036987305,26,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.2095804512500763,26,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.90834379196167,26,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.01315307617188,26,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.243576049804688,27,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20958223938941956,27,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.908320903778076,27,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.01780700683594,27,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.243754386901855,28,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20958416163921356,28,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAE,6.908294200897217,28,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MSE,151.02259826660156,28,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,RMSE,12.243925094604492,29,RMSprop,eb620_00000,Validation
STCONV,0.7,1,Medium,MAPE,0.20958569645881653,29,RMSprop,eb620_00000,Validation
