Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.3,3,Small,RMSE,54.05084228515625,0,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.86065274477005,0,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,53.09797668457031,0,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,2922.18115234375,0,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,11.097975730895996,1,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.16946305334568024,1,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.845736503601074,1,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,123.78750610351562,1,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.522953033447266,2,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.16016621887683868,2,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.194341659545898,2,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.51469421386719,2,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.5480375289917,3,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.16042132675647736,3,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.192288875579834,3,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,112.06643676757812,3,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.543367385864258,4,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.1603785753250122,4,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.19376277923584,4,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.96238708496094,4,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.51339054107666,5,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.16006198525428772,5,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.194626331329346,5,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.3048324584961,5,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.492773056030273,6,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.15984782576560974,6,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.196009635925293,6,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,110.852783203125,6,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.525697708129883,7,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.16016437113285065,7,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.191218852996826,7,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.57563781738281,7,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.518537521362305,8,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.1601049304008484,8,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.193567276000977,8,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.41742706298828,8,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.532621383666992,9,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.1601601541042328,9,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,6.184822082519531,9,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,111.7284164428711,9,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.390005111694336,10,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.1559484899044037,10,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,5.882906436920166,10,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,108.82168579101562,10,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.383646965026855,11,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.1558239907026291,11,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,5.8750739097595215,11,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,108.6920166015625,11,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.382118225097656,12,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.15581060945987701,12,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,5.875040531158447,12,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,108.65907287597656,12,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.38542366027832,13,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.15582852065563202,13,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,5.873947620391846,13,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MSE,108.73074340820312,13,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,RMSE,10.382070541381836,14,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAPE,0.15580910444259644,14,RMSprop,fbef1_00005,Validation
STCONV,0.3,3,Small,MAE,5.874914169311523,14,RMSprop,fbef1_00005,Validation
