Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,TinyLR,RMSE,147.2593536376953,0,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,1.218587875366211,0,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,65.56729125976562,0,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,21688.615234375,0,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,38.80828857421875,1,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.6085008382797241,1,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,33.54623794555664,1,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,1507.6802978515625,1,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,32.898414611816406,2,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.5188168883323669,2,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,27.707612991333008,2,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,1083.67578125,2,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,28.72919464111328,3,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.4799290597438812,3,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,24.33917236328125,3,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,826.580810546875,3,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,24.901302337646484,4,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.44494277238845825,4,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,21.27264404296875,4,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,621.072021484375,4,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,21.853984832763672,5,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.4229184091091156,5,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,18.8051815032959,5,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,478.435791015625,5,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,19.40507698059082,6,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.40494927763938904,6,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,16.534934997558594,6,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,377.3067321777344,6,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,17.31843376159668,7,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.38307517766952515,7,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,14.288443565368652,7,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,300.64404296875,7,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,16.369308471679688,8,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.37119466066360474,8,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,12.659807205200195,8,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,268.9158630371094,8,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,16.284408569335938,9,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.3672614097595215,9,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,11.500853538513184,9,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,266.8148193359375,9,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,16.41497230529785,10,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.36692917346954346,10,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,10.938660621643066,10,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,271.63238525390625,10,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,16.5992431640625,11,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAPE,0.36958128213882446,11,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MAE,10.803360939025879,11,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,MSE,278.0807189941406,11,Adamax,5f091_00014,Validation
STCONV,0.1,1,TinyLR,RMSE,16.671981811523438,12,Adamax,5f091_00014,Validation
