Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,TinyManual,RMSE,39.51708984375,0,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.6118691563606262,0,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,36.00913619995117,0,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,1562.9425048828125,0,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,16.892017364501953,1,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37713363766670227,1,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.656941413879395,1,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,287.4316711425781,1,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.963346481323242,2,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.39758211374282837,2,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.787091255187988,2,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,325.86187744140625,2,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.464765548706055,3,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3858890235424042,3,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.308905601501465,3,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,307.9912109375,3,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,16.571392059326172,4,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37050575017929077,4,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.35644245147705,4,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,276.5870666503906,4,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.67877769470215,5,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3911750912666321,5,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.542505264282227,5,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,315.5841369628906,5,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,16.976287841796875,6,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37680885195732117,6,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.170540809631348,6,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,290.6615295410156,6,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.05760383605957,7,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3784412741661072,7,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.496362686157227,7,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,293.2326354980469,7,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.178985595703125,8,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3803132474422455,8,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.454076766967773,8,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,297.5637512207031,8,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.313852310180664,9,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.38302087783813477,9,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.307035446166992,9,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,302.6164855957031,9,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,17.037700653076172,10,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37751898169517517,10,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.409989356994629,10,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,292.5522155761719,10,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,16.8812313079834,11,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3758300542831421,11,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MAE,11.611795425415039,11,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,MSE,286.9696960449219,11,RMSprop,2339c_00002,Validation
STCONV,0.1,1,TinyManual,RMSE,16.976287841796875,11,RMSprop,2339c_00002,Test
STCONV,0.1,1,TinyManual,MAPE,0.37680885195732117,11,RMSprop,2339c_00002,Test
STCONV,0.1,1,TinyManual,MAE,11.170540809631348,11,RMSprop,2339c_00002,Test
STCONV,0.1,1,TinyManual,MSE,290.6615295410156,11,RMSprop,2339c_00002,Test
