Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.1,1,TinyManual,RMSE,39.73450469970703,0,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.632490336894989,0,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,34.071014404296875,0,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,1580.3690185546875,0,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.884546279907227,1,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37478792667388916,1,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,11.089644432067871,1,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,287.63043212890625,1,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.817283630371094,2,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37336766719818115,2,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,11.010092735290527,2,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,285.3619079589844,2,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.853775024414062,3,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37398672103881836,3,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.94650650024414,3,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,286.70904541015625,3,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.76484489440918,4,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3723677098751068,4,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.969461441040039,4,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,283.524658203125,4,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.720914840698242,5,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3720575273036957,5,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,11.141349792480469,5,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,281.84564208984375,5,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.908554077148438,6,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37538957595825195,6,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,11.03248405456543,6,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,288.5120849609375,6,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.80594825744629,7,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.373134046792984,7,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.984463691711426,7,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,284.9866943359375,7,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.845373153686523,8,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37391361594200134,8,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.940391540527344,8,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,286.4281921386719,8,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.845184326171875,9,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3736412227153778,9,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.935958862304688,9,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,286.39349365234375,9,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.841323852539062,10,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3736056983470917,10,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.951681137084961,10,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,286.2380065917969,10,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.796157836914062,11,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3730084300041199,11,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,11.009649276733398,11,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,284.65704345703125,11,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,17.094873428344727,12,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3783678412437439,12,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.947487831115723,12,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,295.19171142578125,12,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.91568946838379,13,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37497371435165405,13,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.910615921020508,13,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,288.8905334472656,13,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,17.131542205810547,14,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3787968158721924,14,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.95229721069336,14,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,296.5161437988281,14,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,17.054113388061523,15,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37731367349624634,15,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.936195373535156,15,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,293.734130859375,15,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.919260025024414,16,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.3749889135360718,16,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.924216270446777,16,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,288.9847717285156,16,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.83258819580078,17,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37342387437820435,17,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.924551010131836,17,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,285.93988037109375,17,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,RMSE,16.915679931640625,18,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAPE,0.37501275539398193,18,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MAE,10.920255661010742,18,Adam,09488_00008,Validation
STCONV,0.1,1,TinyManual,MSE,288.8836669921875,18,Adam,09488_00008,Validation
