Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.5,5,Tiny,RMSE,63.35126495361328,0,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.9187667369842529,0,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,51.357460021972656,0,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,4015.90087890625,0,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.69234275817871,1,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.370818555355072,1,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,10.907896995544434,1,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,281.1095275878906,1,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.85904884338379,2,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.374175101518631,2,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,11.124346733093262,2,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,286.6944885253906,2,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.9652042388916,3,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.37535354495048523,3,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,10.778618812561035,3,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,290.79144287109375,3,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,17.09586524963379,4,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.37825801968574524,4,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,11.323192596435547,4,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,294.74072265625,4,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,17.014286041259766,5,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.37636426091194153,5,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,10.950784683227539,5,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,292.2974548339844,5,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.733335494995117,6,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.3712913691997528,6,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,10.855388641357422,6,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,282.58056640625,6,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.991830825805664,7,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.3758937418460846,7,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,10.951184272766113,7,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,291.5045471191406,7,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.917823791503906,8,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAPE,0.37518689036369324,8,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MAE,11.015923500061035,8,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,MSE,288.8301086425781,8,Adam,ba193_00001,Validation
STCONV,0.5,5,Tiny,RMSE,16.9652042388916,8,Adam,ba193_00001,Test
STCONV,0.5,5,Tiny,MAPE,0.37535354495048523,8,Adam,ba193_00001,Test
STCONV,0.5,5,Tiny,MAE,10.778618812561035,8,Adam,ba193_00001,Test
STCONV,0.5,5,Tiny,MSE,290.79144287109375,8,Adam,ba193_00001,Test
