Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
STCONV,0.3,10,Medium,RMSE,21.94642448425293,0,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.31385642290115356,0,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,14.112875938415527,0,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,481.8933410644531,0,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.121649742126465,1,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.2106463760137558,1,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.183969020843506,1,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,147.7597198486328,1,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.432889938354492,2,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21393504738807678,2,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.134724140167236,2,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,155.71624755859375,2,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.441834449768066,3,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21359099447727203,3,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.09527587890625,3,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,155.9573211669922,3,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.367683410644531,4,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.2129831165075302,4,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.113704681396484,4,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,154.05447387695312,4,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.26574993133545,5,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21149876713752747,5,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.0847039222717285,5,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,151.47210693359375,5,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.202712059020996,6,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21063193678855896,6,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.067253112792969,6,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,149.87684631347656,6,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.279102325439453,7,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21130672097206116,7,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.044187545776367,7,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,151.8248291015625,7,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.184647560119629,8,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.2103092521429062,8,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.051940441131592,8,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,149.43240356445312,8,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.245677947998047,9,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.2108997255563736,9,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.042897701263428,9,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,150.9832000732422,9,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,RMSE,12.23613452911377,10,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAPE,0.21093182265758514,10,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MAE,7.056401252746582,10,Adamax,ba899_00001,Validation
STCONV,0.3,10,Medium,MSE,150.7266387939453,10,Adamax,ba899_00001,Validation
