Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
0.7,5,Medium,RMSE,60.50373077392578,OptimiserType.Adam,000000,10
0.7,5,Medium,MAPE,0.9897420406341553,OptimiserType.Adam,000000,10
0.7,5,Medium,MAE,59.356468200683594,OptimiserType.Adam,000000,10
0.7,5,Medium,MSE,3666.195556640625,OptimiserType.Adam,000000,10
0.7,5,Medium,RMSE,59.057525634765625,OptimiserType.Adam,000001,10
0.7,5,Medium,MAPE,0.9626995325088501,OptimiserType.Adam,000001,10
0.7,5,Medium,MAE,57.879783630371094,OptimiserType.Adam,000001,10
0.7,5,Medium,MSE,3493.0693359375,OptimiserType.Adam,000001,10
0.7,5,Medium,RMSE,57.438106536865234,OptimiserType.Adam,000002,10
0.7,5,Medium,MAPE,0.9323748350143433,OptimiserType.Adam,000002,10
0.7,5,Medium,MAE,56.223777770996094,OptimiserType.Adam,000002,10
0.7,5,Medium,MSE,3304.176025390625,OptimiserType.Adam,000002,10
0.7,5,Medium,RMSE,54.830867767333984,OptimiserType.Adam,000003,10
0.7,5,Medium,MAPE,0.8837000727653503,OptimiserType.Adam,000003,10
0.7,5,Medium,MAE,53.55661392211914,OptimiserType.Adam,000003,10
0.7,5,Medium,MSE,3011.080810546875,OptimiserType.Adam,000003,10
0.7,5,Medium,RMSE,49.069252014160156,OptimiserType.Adam,000004,10
0.7,5,Medium,MAPE,0.7781025767326355,OptimiserType.Adam,000004,10
0.7,5,Medium,MAE,47.65851593017578,OptimiserType.Adam,000004,10
0.7,5,Medium,MSE,2411.65673828125,OptimiserType.Adam,000004,10
0.7,5,Medium,RMSE,37.03154754638672,OptimiserType.Adam,000005,10
0.7,5,Medium,MAPE,0.5774567127227783,OptimiserType.Adam,000005,10
0.7,5,Medium,MAE,35.51158905029297,OptimiserType.Adam,000005,10
0.7,5,Medium,MSE,1373.802978515625,OptimiserType.Adam,000005,10
0.7,5,Medium,RMSE,16.975555419921875,OptimiserType.Adam,000006,10
0.7,5,Medium,MAPE,0.3052556812763214,OptimiserType.Adam,000006,10
0.7,5,Medium,MAE,15.783392906188965,OptimiserType.Adam,000006,10
0.7,5,Medium,MSE,288.7728576660156,OptimiserType.Adam,000006,10
0.7,5,Medium,RMSE,31.293325424194336,OptimiserType.Adam,000007,10
0.7,5,Medium,MAPE,0.6224671006202698,OptimiserType.Adam,000007,10
0.7,5,Medium,MAE,28.802751541137695,OptimiserType.Adam,000007,10
0.7,5,Medium,MSE,982.4678344726562,OptimiserType.Adam,000007,10
0.7,5,Medium,RMSE,29.017053604125977,OptimiserType.Adam,000008,10
0.7,5,Medium,MAPE,0.5773659348487854,OptimiserType.Adam,000008,10
0.7,5,Medium,MAE,26.33995246887207,OptimiserType.Adam,000008,10
0.7,5,Medium,MSE,845.0536499023438,OptimiserType.Adam,000008,10
0.7,5,Medium,RMSE,14.694144248962402,OptimiserType.Adam,000009,10
0.7,5,Medium,MAPE,0.26303830742836,OptimiserType.Adam,000009,10
0.7,5,Medium,MAE,9.372739791870117,OptimiserType.Adam,000009,10
0.7,5,Medium,MSE,217.88772583007812,OptimiserType.Adam,000009,10
0.7,5,Medium,RMSE,16.14766502380371,OptimiserType.Adam,000010,10
0.7,5,Medium,MAPE,0.29441678524017334,OptimiserType.Adam,000010,10
0.7,5,Medium,MAE,14.928842544555664,OptimiserType.Adam,000010,10
0.7,5,Medium,MSE,261.2550048828125,OptimiserType.Adam,000010,10
0.7,5,Medium,RMSE,22.66844367980957,OptimiserType.Adam,000011,10
0.7,5,Medium,MAPE,0.3806150555610657,OptimiserType.Adam,000011,10
0.7,5,Medium,MAE,21.646347045898438,OptimiserType.Adam,000011,10
0.7,5,Medium,MSE,514.9426879882812,OptimiserType.Adam,000011,10
0.7,5,Medium,RMSE,25.281185150146484,OptimiserType.Adam,000012,10
0.7,5,Medium,MAPE,0.4144424796104431,OptimiserType.Adam,000012,10
0.7,5,Medium,MAE,24.173505783081055,OptimiserType.Adam,000012,10
0.7,5,Medium,MSE,640.4513549804688,OptimiserType.Adam,000012,10
0.7,5,Medium,RMSE,24.768178939819336,OptimiserType.Adam,000013,10
0.7,5,Medium,MAPE,0.4078124761581421,OptimiserType.Adam,000013,10
0.7,5,Medium,MAE,23.68442153930664,OptimiserType.Adam,000013,10
0.7,5,Medium,MSE,614.7288208007812,OptimiserType.Adam,000013,10
0.7,5,Medium,RMSE,21.579801559448242,OptimiserType.Adam,000014,10
0.7,5,Medium,MAPE,0.36673012375831604,OptimiserType.Adam,000014,10
0.7,5,Medium,MAE,20.59860610961914,OptimiserType.Adam,000014,10
0.7,5,Medium,MSE,466.6705627441406,OptimiserType.Adam,000014,10
0.7,5,Medium,RMSE,16.077377319335938,OptimiserType.Adam,000015,10
0.7,5,Medium,MAPE,0.29401615262031555,OptimiserType.Adam,000015,10
0.7,5,Medium,MAE,14.912947654724121,OptimiserType.Adam,000015,10
0.7,5,Medium,MSE,258.9773864746094,OptimiserType.Adam,000015,10
0.7,5,Medium,RMSE,15.376391410827637,OptimiserType.Adam,000016,10
0.7,5,Medium,MAPE,0.28399381041526794,OptimiserType.Adam,000016,10
0.7,5,Medium,MAE,14.101801872253418,OptimiserType.Adam,000016,10
0.7,5,Medium,MSE,236.86741638183594,OptimiserType.Adam,000016,10
0.7,5,Medium,RMSE,14.552801132202148,OptimiserType.Adam,000017,10
0.7,5,Medium,MAPE,0.27166956663131714,OptimiserType.Adam,000017,10
0.7,5,Medium,MAE,13.091066360473633,OptimiserType.Adam,000017,10
0.7,5,Medium,MSE,212.14878845214844,OptimiserType.Adam,000017,10
0.7,5,Medium,RMSE,13.683510780334473,OptimiserType.Adam,000018,10
0.7,5,Medium,MAPE,0.2576391100883484,OptimiserType.Adam,000018,10
0.7,5,Medium,MAE,11.917342185974121,OptimiserType.Adam,000018,10
0.7,5,Medium,MSE,187.53955078125,OptimiserType.Adam,000018,10
0.7,5,Medium,RMSE,12.872533798217773,OptimiserType.Adam,000019,10
0.7,5,Medium,MAPE,0.24269317090511322,OptimiserType.Adam,000019,10
0.7,5,Medium,MAE,10.62835693359375,OptimiserType.Adam,000019,10
0.7,5,Medium,MSE,165.96888732910156,OptimiserType.Adam,000019,10
