Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
0.5,10,Small,RMSE,61.8100700378418,OptimiserType.RMSprop,000000,3
0.5,10,Small,MAPE,0.9975807666778564,OptimiserType.RMSprop,000000,3
0.5,10,Small,MAE,60.984710693359375,OptimiserType.RMSprop,000000,3
0.5,10,Small,MSE,3826.02685546875,OptimiserType.RMSprop,000000,3
0.5,10,Small,RMSE,61.71149826049805,OptimiserType.RMSprop,000001,3
0.5,10,Small,MAPE,0.9958417415618896,OptimiserType.RMSprop,000001,3
0.5,10,Small,MAE,60.88482666015625,OptimiserType.RMSprop,000001,3
0.5,10,Small,MSE,3813.835693359375,OptimiserType.RMSprop,000001,3
0.5,10,Small,RMSE,61.641693115234375,OptimiserType.RMSprop,000002,3
0.5,10,Small,MAPE,0.994611382484436,OptimiserType.RMSprop,000002,3
0.5,10,Small,MAE,60.81401824951172,OptimiserType.RMSprop,000002,3
0.5,10,Small,MSE,3805.215576171875,OptimiserType.RMSprop,000002,3
0.5,10,Small,RMSE,61.58448791503906,OptimiserType.RMSprop,000003,3
0.5,10,Small,MAPE,0.9936041831970215,OptimiserType.RMSprop,000003,3
0.5,10,Small,MAE,60.75608444213867,OptimiserType.RMSprop,000003,3
0.5,10,Small,MSE,3798.16015625,OptimiserType.RMSprop,000003,3
0.5,10,Small,RMSE,61.53486633300781,OptimiserType.RMSprop,000004,3
0.5,10,Small,MAPE,0.9927288293838501,OptimiserType.RMSprop,000004,3
0.5,10,Small,MAE,60.70576858520508,OptimiserType.RMSprop,000004,3
0.5,10,Small,MSE,3792.037109375,OptimiserType.RMSprop,000004,3
0.5,10,Small,RMSE,61.490379333496094,OptimiserType.RMSprop,000005,3
0.5,10,Small,MAPE,0.9919453859329224,OptimiserType.RMSprop,000005,3
0.5,10,Small,MAE,60.660675048828125,OptimiserType.RMSprop,000005,3
0.5,10,Small,MSE,3786.55517578125,OptimiserType.RMSprop,000005,3
0.5,10,Small,RMSE,61.44965362548828,OptimiserType.RMSprop,000006,3
0.5,10,Small,MAPE,0.9912275075912476,OptimiserType.RMSprop,000006,3
0.5,10,Small,MAE,60.619354248046875,OptimiserType.RMSprop,000006,3
0.5,10,Small,MSE,3781.54248046875,OptimiserType.RMSprop,000006,3
0.5,10,Small,RMSE,61.411842346191406,OptimiserType.RMSprop,000007,3
0.5,10,Small,MAPE,0.9905609488487244,OptimiserType.RMSprop,000007,3
0.5,10,Small,MAE,60.58102035522461,OptimiserType.RMSprop,000007,3
